image,bbox_x1,bbox_y1,bbox_x2,bbox_y2,det_confidence,palm_class,palm_confidence,environment_class,environment_confidence
palmera_412698.png,374,374,421,422,0.21086038649082184,3,0.5823625922203064,0,0.43691736459732056
palmera_413098.png,221,446,265,491,0.231923446059227,3,0.2955114245414734,0,0.918098509311676
palmera_413098.png,350,402,395,447,0.22984449565410614,5,0.3327793776988983,0,0.9095781445503235
palmera_413098.png,111,539,157,586,0.227639839053154,4,0.3530920147895813,0,0.8796008229255676
palmera_413098.png,251,446,293,489,0.2132444977760315,5,0.3849571645259857,0,0.8288865685462952
palmera_413098.png,136,516,181,563,0.20878726243972778,5,0.2675853371620178,0,0.8635144829750061
palmera_413098.png,224,438,267,482,0.20430733263492584,3,0.3240908086299896,0,0.9027413725852966
palmera_413098.png,230,416,275,462,0.20334492623806,3,0.6054423451423645,0,0.8949838876724243
palmera_413098.png,164,562,210,608,0.20249077677726746,3,0.44944313168525696,0,0.8811495304107666
palmera_413098.png,653,411,700,457,0.20231065154075623,3,0.2406861037015915,0,0.7769134044647217
palmera_413098.png,148,540,192,585,0.19723373651504517,5,0.5380345582962036,0,0.9211668968200684
palmera_413098.png,167,556,215,604,0.18985164165496826,3,0.43648022413253784,0,0.8361026644706726
palmera_413098.png,452,232,498,277,0.18902835249900818,3,0.44894421100616455,0,0.9261605143547058
palmera_413098.png,312,428,358,476,0.18854783475399017,3,0.31348979473114014,0,0.8546396493911743
palmera_413098.png,159,614,205,658,0.1865261197090149,3,0.37443873286247253,0,0.8485748767852783
palmera_413898.png,808,629,855,674,0.23115646839141846,0,0.33281558752059937,0,0.5849705934524536
palmera_413898.png,807,650,854,698,0.19803646206855774,3,0.6752963066101074,0,0.42137157917022705
palmera_414298.png,536,306,577,346,0.2846542298793793,3,0.901095986366272,0,0.9373458623886108
palmera_414298.png,604,366,645,406,0.2484285682439804,3,0.5798923373222351,2,0.367694228887558
palmera_414298.png,562,306,602,346,0.24498306214809418,3,0.5872784852981567,0,0.8749224543571472
palmera_414298.png,604,357,646,399,0.2312323898077011,3,0.3169933259487152,0,0.2863443195819855
palmera_414298.png,577,331,618,371,0.22921057045459747,3,0.6847949028015137,0,0.8016085028648376
palmera_414298.png,614,382,656,425,0.2286616414785385,4,0.8395121693611145,2,0.39042288064956665
palmera_414298.png,560,299,600,340,0.2246091216802597,3,0.5507839918136597,0,0.944141685962677
palmera_414298.png,555,345,597,387,0.21506813168525696,3,0.2991119921207428,0,0.5223818421363831
palmera_414298.png,585,326,626,367,0.21332812309265137,3,0.7412706017494202,0,0.6537123322486877
palmera_414298.png,470,468,513,511,0.2063148021697998,3,0.5303501486778259,0,0.5946691632270813
palmera_414298.png,651,365,693,406,0.20605167746543884,4,0.4472649395465851,2,0.5684300661087036
palmera_414298.png,91,172,131,213,0.20157743990421295,4,0.5054898262023926,0,0.9979448914527893
palmera_414298.png,680,350,723,393,0.2012118697166443,3,0.5252935886383057,2,0.747417688369751
palmera_414298.png,606,328,648,370,0.1995314210653305,4,0.41662096977233887,2,0.24530687928199768
palmera_414298.png,565,312,604,352,0.19365587830543518,3,0.8352168202400208,0,0.8633079528808594
palmera_414298.png,12,49,54,92,0.19268566370010376,3,0.646455705165863,0,0.8752086758613586
palmera_414298.png,0,54,31,96,0.18905840814113617,4,0.46372196078300476,0,0.7978952527046204
palmera_414298.png,583,343,625,385,0.18792109191417694,3,0.44777384400367737,0,0.3973143696784973
palmera_414298.png,592,324,633,366,0.18745392560958862,3,0.5280110836029053,0,0.619757890701294
palmera_414698.png,976,203,1017,246,0.2884545624256134,3,0.6768462657928467,0,0.7197967171669006
palmera_414698.png,351,608,393,649,0.22009555995464325,3,0.767051637172699,0,0.9036149978637695
palmera_414698.png,356,591,396,632,0.20887809991836548,2,0.3396227955818176,0,0.9500977993011475
palmera_414698.png,288,140,327,179,0.2068985253572464,3,0.5081119537353516,0,0.620976448059082
palmera_414698.png,195,599,240,643,0.18799924850463867,3,0.8553467392921448,0,0.6678677797317505
palmera_415098.png,138,46,182,88,0.35524073243141174,3,0.5016892552375793,0,0.6922774314880371
