epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.7704,1.62198,0.53333,0.97697,1.19118,0.00331492,0.00331492,0.00331492
2,22.3666,1.3201,0.54667,0.97818,1.1909,0.00662631,0.00662631,0.00662631
3,32.006,1.29265,0.45576,0.96121,1.41955,0.00991571,0.00991571,0.00991571
4,41.7147,1.40153,0.55394,0.9697,1.2558,0.009901,0.009901,0.009901
5,51.3878,1.35323,0.56,0.98061,1.2004,0.009868,0.009868,0.009868
6,61.1223,1.36802,0.53697,0.97455,1.21298,0.009835,0.009835,0.009835
7,70.8843,1.30819,0.53455,0.97697,1.24583,0.009802,0.009802,0.009802
8,80.7439,1.2811,0.5697,0.97697,1.1502,0.009769,0.009769,0.009769
9,90.7691,1.26805,0.54182,0.97455,1.21659,0.009736,0.009736,0.009736
10,100.806,1.22467,0.54182,0.97576,1.1628,0.009703,0.009703,0.009703
11,110.851,1.18407,0.54182,0.97455,1.18108,0.00967,0.00967,0.00967
12,121.13,1.16703,0.55758,0.97697,1.14872,0.009637,0.009637,0.009637
13,131.253,1.14501,0.57576,0.98182,1.09501,0.009604,0.009604,0.009604
14,141.594,1.14262,0.53212,0.98182,1.21122,0.009571,0.009571,0.009571
15,151.956,1.09026,0.59515,0.98545,1.1111,0.009538,0.009538,0.009538
16,162.515,1.07679,0.58303,0.98303,1.11542,0.009505,0.009505,0.009505
17,173.011,1.02819,0.56606,0.98545,1.16237,0.009472,0.009472,0.009472
18,183.68,1.02384,0.57212,0.98424,1.1155,0.009439,0.009439,0.009439
19,194.344,1.04638,0.57091,0.97697,1.11796,0.009406,0.009406,0.009406
20,204.994,1.0047,0.55636,0.98424,1.19216,0.009373,0.009373,0.009373
21,215.707,0.98276,0.56727,0.9903,1.1059,0.00934,0.00934,0.00934
22,226.587,0.94632,0.59152,0.98303,1.16224,0.009307,0.009307,0.009307
23,237.515,0.93117,0.58909,0.98424,1.09561,0.009274,0.009274,0.009274
24,248.445,0.91182,0.58424,0.96848,1.14124,0.009241,0.009241,0.009241
25,259.389,0.90592,0.60121,0.97939,1.14575,0.009208,0.009208,0.009208
