epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1949,3.48602,2.50799,1.50516,0.0474,0.0686,0.01933,0.00468,4.02146,8.67895,1.9947,0.000654321,0.000654321,0.000654321
2,31.3506,2.88376,2.09514,1.20608,0,0,0,0,0,inf,0,0.00131663,0.00131663,0.00131663
3,49.8346,2.85607,2.08592,1.19733,0.13095,0.12758,0.05419,0.0146,3.28506,4.15466,1.5421,0.00197454,0.00197454,0.00197454
4,66.4839,2.80078,2.03696,1.16936,0.00044,0.00034,0.00019,2e-05,nan,nan,nan,0.0019802,0.0019802,0.0019802
5,85.3749,2.82982,2.0352,1.15014,0.00439,0.00815,0.00223,0.00051,nan,nan,nan,0.0019736,0.0019736,0.0019736
6,106.893,2.84837,2.05393,1.18137,0.03153,0.08886,0.01747,0.00581,3.91635,2.49777,1.58938,0.001967,0.001967,0.001967
7,122.381,2.6927,1.99558,1.13326,0.17881,0.15667,0.08441,0.01969,3.53362,2.26699,1.56378,0.0019604,0.0019604,0.0019604
8,139.924,2.76034,2.01497,1.15142,0.12869,0.08411,0.04665,0.01365,4.26119,2.5607,1.65225,0.0019538,0.0019538,0.0019538
9,155.212,2.7472,2.00224,1.13941,0.04988,0.03849,0.01808,0.00288,4.20656,2.2117,2.09498,0.0019472,0.0019472,0.0019472
10,176.065,2.6908,1.92142,1.14391,0.27741,0.28515,0.19715,0.06168,2.63853,1.91479,1.14944,0.0019406,0.0019406,0.0019406
11,194.801,2.68326,1.90716,1.13022,0.22725,0.22221,0.13721,0.03726,2.91186,2.09569,1.20909,0.001934,0.001934,0.001934
12,213.547,2.63894,1.89943,1.11743,0.00281,0.00792,0.00146,0.00021,4.72378,2.17481,1.67543,0.0019274,0.0019274,0.0019274
13,232.336,2.66416,2.02421,1.1307,0.001,0.00283,0.00051,7e-05,5.43675,3.72095,2.15472,0.0019208,0.0019208,0.0019208
14,252.352,2.60268,1.91015,1.11951,0.27716,0.05569,0.03593,0.0066,4.64794,2.24408,1.77107,0.0019142,0.0019142,0.0019142
15,269.988,2.55178,1.8327,1.10073,0.37771,0.33813,0.27555,0.11071,2.21187,1.75511,1.05728,0.0019076,0.0019076,0.0019076
16,288.1,2.53857,1.83582,1.09975,0.27634,0.2907,0.21914,0.07173,2.62043,1.96578,1.18814,0.001901,0.001901,0.001901
17,306.607,2.50981,1.80883,1.08754,0.3953,0.31266,0.27192,0.1089,2.29446,1.79328,1.0893,0.0018944,0.0018944,0.0018944
18,327.496,2.5084,1.8113,1.08948,0.24013,0.2942,0.17461,0.05085,2.55865,1.96505,1.13758,0.0018878,0.0018878,0.0018878
19,345.15,2.63778,1.87685,1.12602,0.06064,0.07052,0.02306,0.00538,4.33217,1.96061,1.64833,0.0018812,0.0018812,0.0018812
20,364.137,2.53198,1.80895,1.09273,0.32059,0.30156,0.2171,0.06288,2.94598,1.83719,1.1489,0.0018746,0.0018746,0.0018746
21,383.662,2.4327,1.79332,1.08656,0.25022,0.22685,0.16311,0.0357,3.15735,1.94434,1.21231,0.001868,0.001868,0.001868
22,404.5,2.53709,1.81237,1.0878,0.33864,0.29488,0.23078,0.08636,2.61783,1.79909,1.1133,0.0018614,0.0018614,0.0018614
23,420.617,2.52548,1.81102,1.09082,0.19901,0.17206,0.10406,0.02012,3.79063,1.90361,1.39141,0.0018548,0.0018548,0.0018548
24,458.975,2.49931,1.78061,1.09025,0.25469,0.26172,0.17139,0.03185,3.38567,1.81903,1.23141,0.0018482,0.0018482,0.0018482
25,480.544,2.525,1.77704,1.07939,0.36639,0.31164,0.25696,0.0954,2.54887,1.80109,1.15036,0.0018416,0.0018416,0.0018416
