epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.9923,3.11051,2.61931,1.70323,0.05647,0.15916,0.03273,0.01208,2.71982,36.2626,1.50756,0.000663537,0.000663537,0.000663537
2,73.6559,2.7609,2.22174,1.47567,0.04341,0.12237,0.02508,0.0075,3.06571,2.70963,1.66772,0.00132581,0.00132581,0.00132581
3,109.564,2.7329,2.22671,1.47081,0.26707,0.2616,0.19013,0.06454,2.62505,2.09038,1.49406,0.00198369,0.00198369,0.00198369
4,146.263,2.75804,2.26686,1.44134,0.16422,0.26568,0.11637,0.02633,3.02946,3.36697,1.56195,0.0019802,0.0019802,0.0019802
5,182.812,2.67974,2.23734,1.40706,0.13888,0.14727,0.07147,0.02034,3.19304,2.16969,1.63404,0.0019736,0.0019736,0.0019736
6,219.675,2.6974,2.24244,1.40482,0.18181,0.23031,0.12225,0.03843,2.58528,2.27579,1.43192,0.001967,0.001967,0.001967
7,257.171,2.59991,2.20463,1.3928,0.19006,0.28164,0.13923,0.04315,2.53729,2.19567,1.39496,0.0019604,0.0019604,0.0019604
8,294.518,2.52647,2.12336,1.35931,0.27868,0.31583,0.21451,0.05734,2.71602,1.99011,1.39934,0.0019538,0.0019538,0.0019538
9,332.632,2.51068,2.0838,1.36152,0.28907,0.30892,0.22552,0.08868,2.28813,2.12996,1.33785,0.0019472,0.0019472,0.0019472
10,370.454,2.47373,2.07286,1.33236,0.33234,0.32024,0.26607,0.09696,2.37412,2.16325,1.37572,0.0019406,0.0019406,0.0019406
11,408.695,2.41837,2.04904,1.29876,0.393,0.34243,0.30775,0.12906,2.20245,1.96043,1.29524,0.001934,0.001934,0.001934
12,446.855,2.63456,2.08163,1.39823,0.35078,0.3216,0.28567,0.11436,2.19176,1.99339,1.28536,0.0019274,0.0019274,0.0019274
13,484.935,2.41887,2.03427,1.3089,0.3939,0.31254,0.27035,0.08412,2.31869,2.06822,1.33224,0.0019208,0.0019208,0.0019208
14,522.794,2.38697,2.02543,1.30574,0.36914,0.31854,0.29221,0.11058,2.31208,2.0077,1.30524,0.0019142,0.0019142,0.0019142
15,561.397,2.42298,2.04989,1.30842,0.35448,0.29839,0.2615,0.09599,2.31702,1.98595,1.29514,0.0019076,0.0019076,0.0019076
16,600.008,2.4247,1.97696,1.29694,0.41918,0.34118,0.30408,0.08456,2.49204,1.93481,1.34836,0.001901,0.001901,0.001901
17,638.037,2.46426,2.04579,1.31735,0.38023,0.3516,0.29924,0.11545,2.26715,1.9382,1.32276,0.0018944,0.0018944,0.0018944
18,676.093,2.35196,2.03855,1.28384,0.38449,0.32601,0.29177,0.10728,2.27631,2.03604,1.31614,0.0018878,0.0018878,0.0018878
19,715.169,2.35309,2.01887,1.29512,0.36554,0.29907,0.27598,0.11064,2.21873,2.07801,1.27359,0.0018812,0.0018812,0.0018812
20,753.886,2.35433,2.02055,1.25265,0.30046,0.32579,0.25182,0.06857,2.70339,1.93843,1.34818,0.0018746,0.0018746,0.0018746
21,794.248,2.33915,1.99354,1.31421,0.38533,0.31718,0.27693,0.07385,2.64057,1.99447,1.3746,0.001868,0.001868,0.001868
