epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.7602,3.38778,2.57033,1.58034,0.00067,0.00125,0.00034,8e-05,nan,nan,nan,0.000654321,0.000654321,0.000654321
2,62.2436,2.7862,2.14332,1.27396,0.15104,0.21089,0.1014,0.02767,3.16381,3.05703,1.63331,0.00131663,0.00131663,0.00131663
3,101.823,2.77472,2.10535,1.26278,0.22749,0.19821,0.12612,0.03672,3.36785,2.05437,1.70696,0.00197454,0.00197454,0.00197454
4,137.434,2.72491,2.07621,1.24849,0.09884,0.07177,0.03642,0.00748,4.18479,3.76353,1.76734,0.0019802,0.0019802,0.0019802
5,184.604,2.74631,1.99623,1.20526,0.09029,0.20376,0.05516,0.01469,4.10872,inf,2.62001,0.0019736,0.0019736,0.0019736
6,218.123,2.70741,1.99089,1.23409,0.05499,0.09665,0.03206,0.00833,3.88244,2.63612,1.60192,0.001967,0.001967,0.001967
7,249.381,2.59798,1.96287,1.18835,0.21242,0.27394,0.14971,0.05083,2.68736,1.93792,1.23338,0.0019604,0.0019604,0.0019604
8,282.439,2.60901,1.93956,1.19332,0.15874,0.17206,0.08242,0.02178,3.46528,2.26114,1.70312,0.0019538,0.0019538,0.0019538
9,306.967,2.62109,2.00239,1.19834,0.02307,0.0643,0.0127,0.00257,4.24832,3.92558,1.72547,0.0019472,0.0019472,0.0019472
10,343.466,2.48222,1.89896,1.16874,0.23209,0.20987,0.13761,0.02403,3.68926,2.01244,1.81121,0.0019406,0.0019406,0.0019406
11,376.103,2.59046,1.94308,1.18964,0.24094,0.21678,0.1393,0.03458,3.13028,2.08003,1.3606,0.001934,0.001934,0.001934
12,414.157,2.52815,1.94699,1.16557,0.07798,0.07007,0.03514,0.00626,4.25456,1.94668,1.70564,0.0019274,0.0019274,0.0019274
13,526.923,2.54434,1.96642,1.1679,0.01247,0.01132,0.00528,0.00084,4.80417,2.87843,1.91271,0.0019208,0.0019208,0.0019208
14,565.587,2.44645,1.8827,1.15447,0.3354,0.31888,0.23829,0.08943,2.39458,1.89798,1.15304,0.0019142,0.0019142,0.0019142
15,594.695,2.40642,1.83397,1.13327,0.33389,0.35044,0.2533,0.10696,2.18547,1.76829,1.10936,0.0019076,0.0019076,0.0019076
16,625.764,2.50394,1.87614,1.16609,0.12292,0.13256,0.06263,0.01118,3.85977,2.29247,1.5027,0.001901,0.001901,0.001901
17,663.912,2.47138,1.83417,1.14214,0.20632,0.16527,0.11258,0.02057,3.77688,1.85207,1.56088,0.0018944,0.0018944,0.0018944
18,691.659,2.44717,1.85396,1.14788,0.26431,0.29688,0.19306,0.0638,2.7163,1.91906,1.21726,0.0018878,0.0018878,0.0018878
19,720.532,2.47093,1.86286,1.1684,0.05769,0.0583,0.02807,0.00544,4.29346,2.18257,1.72974,0.0018812,0.0018812,0.0018812
20,752.962,2.44333,1.80692,1.14526,0.3552,0.33579,0.26076,0.09586,2.46451,1.75751,1.12804,0.0018746,0.0018746,0.0018746
21,786.155,2.31201,1.79683,1.12686,0.28137,0.29409,0.20135,0.06966,2.61108,1.85008,1.19046,0.001868,0.001868,0.001868
22,818.259,2.42907,1.79208,1.13344,0.40216,0.38171,0.30656,0.13173,2.05271,1.68909,1.06725,0.0018614,0.0018614,0.0018614
23,849.572,2.3645,1.79093,1.12543,0.29565,0.28096,0.20581,0.06659,2.79702,1.79396,1.24091,0.0018548,0.0018548,0.0018548
24,894.865,2.37337,1.78606,1.13017,0.34412,0.33462,0.26027,0.07135,2.87547,1.71503,1.21642,0.0018482,0.0018482,0.0018482
25,928.652,2.32609,1.75784,1.10532,0.39727,0.33281,0.28067,0.13675,1.9991,1.78414,1.07998,0.0018416,0.0018416,0.0018416
26,976.045,2.37592,1.78943,1.12567,0.31706,0.32998,0.24615,0.07362,2.8032,1.73731,1.20817,0.001835,0.001835,0.001835
27,1011.93,2.3357,1.75899,1.12017,0.27,0.28651,0.18449,0.03826,3.25879,1.93552,1.31677,0.0018284,0.0018284,0.0018284
28,1041.81,2.48562,1.78711,1.13552,0.10011,0.02355,0.01432,0.00208,4.44963,2.03172,1.90648,0.0018218,0.0018218,0.0018218
29,1073.21,2.38681,1.8036,1.12794,0.36812,0.32703,0.26179,0.06325,2.97652,1.7303,1.25727,0.0018152,0.0018152,0.0018152
30,1113.12,2.36398,1.75817,1.11567,0.3891,0.34073,0.28156,0.09771,2.44257,1.75182,1.12734,0.0018086,0.0018086,0.0018086
31,1140.09,2.34161,1.73847,1.10961,0.33664,0.33609,0.26583,0.09462,2.56422,1.78414,1.16278,0.001802,0.001802,0.001802
32,1261.94,2.31696,1.77876,1.10384,0.36803,0.28526,0.24135,0.07749,2.8419,1.70379,1.2287,0.0017954,0.0017954,0.0017954
33,1299.62,2.4259,1.71991,1.12355,0.42244,0.36235,0.30216,0.12413,2.17711,1.66533,1.074,0.0017888,0.0017888,0.0017888
34,1337.3,2.35586,1.77127,1.10852,0.43751,0.3894,0.33827,0.13019,2.22745,1.6652,1.07907,0.0017822,0.0017822,0.0017822
35,1373.03,2.38881,1.75291,1.13847,0.0554,0.08286,0.02739,0.00446,4.25862,2.07791,1.76099,0.0017756,0.0017756,0.0017756
