epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.7738,2.79039,2.50655,2.00363,0.11513,0.17308,0.05927,0.02026,3.02318,10.8352,2.18176,0.000663537,0.000663537,0.000663537
2,70.8057,2.47661,2.21454,1.71476,0.03819,0.10765,0.02403,0.00719,3.76162,2.88464,3.44466,0.00132581,0.00132581,0.00132581
3,105.265,2.39229,2.1478,1.696,0.25932,0.28198,0.20169,0.07278,2.29105,2.17463,1.81754,0.00198369,0.00198369,0.00198369
4,140.638,2.45221,2.10473,1.6741,0.30503,0.33439,0.24026,0.09937,2.16074,2.05301,1.67282,0.0019802,0.0019802,0.0019802
5,176.639,2.31533,2.06746,1.59903,0.1363,0.14274,0.0782,0.02192,3.56704,2.22875,2.38095,0.0019736,0.0019736,0.0019736
6,211.949,2.34978,2.00908,1.62491,0.19811,0.22096,0.11528,0.02732,2.8853,2.40411,1.8054,0.001967,0.001967,0.001967
7,246.437,2.32593,2.05988,1.59807,0.29363,0.32525,0.22982,0.09342,2.12618,2.06621,1.64888,0.0019604,0.0019604,0.0019604
8,281.347,2.38243,1.98508,1.66308,0.34767,0.32443,0.26383,0.11988,2.14616,1.95136,1.57731,0.0019538,0.0019538,0.0019538
9,316.499,2.22749,1.91864,1.60415,0.32238,0.32012,0.26649,0.09327,2.32328,1.88869,1.63222,0.0019472,0.0019472,0.0019472
10,352.493,2.42647,2.03993,1.6316,0.31071,0.37956,0.24137,0.08688,2.42667,1.95599,1.68491,0.0019406,0.0019406,0.0019406
11,388.477,2.35803,1.95614,1.61865,0.42355,0.3911,0.36045,0.16444,1.90093,1.77437,1.5258,0.001934,0.001934,0.001934
12,424.153,2.18716,1.93438,1.5274,0.38132,0.39789,0.34372,0.11538,2.27653,1.87586,1.57739,0.0019274,0.0019274,0.0019274
13,459.914,2.1619,1.96307,1.50671,0.41119,0.39925,0.33934,0.15409,1.98696,1.85494,1.54287,0.0019208,0.0019208,0.0019208
14,495.648,2.09776,1.88015,1.50019,0.35821,0.36031,0.29941,0.13281,2.01754,1.90351,1.52623,0.0019142,0.0019142,0.0019142
15,531.676,2.12876,1.88186,1.51654,0.33702,0.33518,0.24468,0.05525,2.86032,1.83096,1.82937,0.0019076,0.0019076,0.0019076
16,567.53,2.32592,1.90374,1.58919,0.46068,0.4031,0.38191,0.15339,2.24314,1.70726,1.53341,0.001901,0.001901,0.001901
17,603.836,2.0909,1.79925,1.47673,0.43321,0.37503,0.35581,0.1768,1.85394,1.82507,1.46387,0.0018944,0.0018944,0.0018944
18,640.194,2.05796,1.86143,1.4563,0.45801,0.44204,0.41363,0.20105,1.92922,1.75383,1.5207,0.0018878,0.0018878,0.0018878
19,676.144,2.29132,1.8976,1.58344,0.52835,0.4134,0.42711,0.22013,1.73067,1.74297,1.41286,0.0018812,0.0018812,0.0018812
20,714.093,2.22138,1.84079,1.51108,0.3968,0.35499,0.31749,0.07132,2.87635,1.8015,1.85045,0.0018746,0.0018746,0.0018746
21,750.043,2.18002,1.8237,1.5685,0.45115,0.38262,0.35858,0.13936,1.9593,1.85534,1.50623,0.001868,0.001868,0.001868
22,786.115,2.14529,1.76341,1.49694,0.45631,0.38691,0.37872,0.12692,2.28426,1.83156,1.5821,0.0018614,0.0018614,0.0018614
23,821.803,2.18544,1.89176,1.52451,0.4778,0.39371,0.38655,0.14744,2.18626,1.72182,1.57562,0.0018548,0.0018548,0.0018548
