image,bbox_x1,bbox_y1,bbox_x2,bbox_y2,det_confidence,palm_class,palm_confidence,environment_class,environment_confidence
palmera_309387.png,181,540,230,588,0.3637976348400116,0,0.23686060309410095,0,0.2841032147407532
palmera_309387.png,169,670,220,721,0.3302690088748932,3,0.24736201763153076,3,0.4909602105617523
palmera_309387.png,233,477,286,531,0.3097507655620575,3,0.31154510378837585,4,0.4636078178882599
palmera_309387.png,915,445,968,498,0.3081513047218323,3,0.26780420541763306,0,0.6644397377967834
palmera_309387.png,178,654,229,704,0.30430689454078674,3,0.24175415933132172,3,0.41902101039886475
palmera_309387.png,152,487,204,538,0.2851524353027344,3,0.24559949338436127,0,0.28470537066459656
palmera_309387.png,5,505,57,556,0.2829139232635498,3,0.3529284596443176,0,0.6263543963432312
palmera_309387.png,622,318,670,366,0.27401411533355713,3,0.3446122407913208,0,0.5383431911468506
palmera_309387.png,28,499,77,548,0.2689560353755951,3,0.286823034286499,0,0.5567017793655396
palmera_309387.png,114,478,166,531,0.2688756287097931,3,0.2562812566757202,0,0.42655307054519653
palmera_309387.png,305,314,357,367,0.2685708701610565,3,0.25609517097473145,3,0.3706558644771576
palmera_309387.png,186,635,236,684,0.2565935254096985,3,0.2870142459869385,3,0.36134853959083557
palmera_309387.png,0,523,44,573,0.2539209723472595,3,0.31316331028938293,0,0.5322890281677246
palmera_309387.png,45,495,95,544,0.24712853133678436,3,0.2818989157676697,0,0.5087310075759888
palmera_309387.png,181,570,230,620,0.24625107645988464,3,0.23265612125396729,0,0.348908007144928
palmera_309387.png,176,524,223,571,0.24470946192741394,3,0.3092139959335327,5,0.33380693197250366
palmera_309387.png,172,519,219,566,0.24069459736347198,3,0.2718782424926758,4,0.30941087007522583
palmera_309387.png,146,491,199,543,0.2395021766424179,0,0.22409604489803314,0,0.300964891910553
palmera_309387.png,643,350,693,399,0.23448555171489716,3,0.29854270815849304,0,0.6479260921478271
palmera_309387.png,162,488,213,540,0.22903738915920258,3,0.2738074064254761,5,0.27692198753356934
palmera_309387.png,186,676,234,724,0.22549057006835938,3,0.28500059247016907,3,0.5658807158470154
palmera_309387.png,189,617,238,667,0.22328798472881317,3,0.25415393710136414,0,0.27172937989234924
palmera_309387.png,24,507,72,554,0.22047059237957,3,0.3122086822986603,0,0.5886191129684448
palmera_309387.png,268,279,320,331,0.22018030285835266,3,0.38195398449897766,3,0.2820182144641876
palmera_309387.png,182,512,229,561,0.21887612342834473,3,0.2404310405254364,0,0.28710272908210754
