image,bbox_x1,bbox_y1,bbox_x2,bbox_y2,palm_class,environment_class
palmera_309387.png,486,341,531,386,3,3
palmera_309387.png,479,337,524,382,3,3
palmera_309387.png,499,331,544,376,3,3
palmera_309387.png,511,332,556,377,3,3
palmera_309387.png,526,364,571,409,3,3
palmera_309387.png,511,360,556,405,3,3
palmera_309387.png,464,325,509,370,3,3
palmera_309387.png,476,319,521,364,3,3
palmera_309387.png,633,273,678,318,3,3
palmera_309387.png,612,295,657,340,3,3
palmera_309387.png,602,298,647,343,3,3
palmera_309387.png,655,328,700,373,3,3
palmera_309387.png,656,297,701,342,3,3
palmera_309387.png,661,307,706,352,3,3
palmera_309387.png,664,316,709,361,3,3
palmera_309387.png,670,316,715,361,3,3
palmera_309387.png,630,300,675,345,3,3
palmera_309387.png,621,292,666,337,3,3
palmera_309387.png,631,291,676,336,3,3
palmera_309387.png,167,700,212,745,3,5
palmera_309387.png,-21,520,23,565,3,5
palmera_309387.png,-1,513,43,558,3,5
palmera_309387.png,16,504,61,549,3,5
palmera_309387.png,36,501,81,546,3,5
palmera_309387.png,47,500,92,545,3,5
palmera_309387.png,38,484,83,529,3,5
palmera_309387.png,58,489,103,534,3,5
palmera_309387.png,72,476,117,521,3,5
palmera_309387.png,89,490,134,535,3,5
palmera_309387.png,131,504,176,549,3,5
palmera_309387.png,149,514,194,559,3,5
palmera_309387.png,169,511,214,556,3,5
palmera_309387.png,152,532,197,577,3,5
palmera_309387.png,169,527,214,572,3,5
palmera_309387.png,164,554,209,599,3,5
palmera_309387.png,165,573,210,618,3,5
palmera_309387.png,156,589,201,634,3,5
palmera_309387.png,167,603,212,648,3,5
palmera_309387.png,167,619,212,664,3,5
palmera_309387.png,170,638,215,683,3,5
palmera_309387.png,152,646,197,691,3,5
palmera_309387.png,169,655,214,700,3,5
palmera_309387.png,162,677,207,722,3,5
palmera_309387.png,135,688,180,733,3,5
palmera_309387.png,154,696,199,741,3,5
palmera_309387.png,730,703,775,748,3,3
palmera_309387.png,324,386,369,431,3,3
palmera_309387.png,490,350,535,395,3,3
palmera_309387.png,927,564,972,609,3,3
palmera_309387.png,938,565,983,610,3,3
palmera_309387.png,946,567,991,612,3,3
palmera_309387.png,988,667,1033,712,3,3
palmera_309387.png,732,588,777,633,3,3
